| Precursor           | Substrate | Temperature | Products | Dimensions |
|---------------------|-----------|-------------|----------|------------|
| BPDSC               | Au(111)   | Annealing   | N/A      | N/A        |
| Phenyl-SO2-Phenyl   | Ag(111)   | N/A         | N/A      | N/A        |

| Precursor | Substrate | Temperature | Products | Dimensions |
|------------|-----------|------------|----------|------------|
| Bromobenzene | Au(111) and Ag(111) surfaces | N/A | Debromination reaction products | N/A |
| BPDSC and 1,3,5-tris(4-bromophenyl)benzene | Au(111) and Ag(111) surfaces | N/A | Desulfonylation reaction products | N/A |

| Precursor            | Substrate | Temperature | Products | Dimensions |
|----------------------|-----------|-------------|----------|------------|
| Halobenzene          | Cu(111)   | N/A         | N/A      | N/A        |
| Phenol derivatives   | Cu(111)   | N/A         | N/A      | N/A        |

| Precursor                                  | Substrate | Temperature | Products | Dimensions |
|--------------------------------------------|-----------|-------------|----------|------------|
| [1,1'-biphenyl]-4,4'-disulfonyl dichloride | Au(111)   | 130K, RT, 373K | Polyphenylene | N/A |
| [1,1'-biphenyl]-4,4'-disulfonyl dichloride | Ag(111)   | 130K, RT, 373K | Polyphenylene | N/A |

| Precursor                   | Substrate | Temperature | Products | Dimensions |
|-----------------------------|-----------|-------------|----------|------------|
| Molecular precursor         | Au(111)   | N/A         | N/A      | N/A        |
| Molecular precursor         | Ag(111)   | N/A         | N/A      | N/A        |

