| Precursor         | Substrate | Temperature | Products                | Dimensions |
|--------------------|-----------|-------------|-------------------------|------------|
| Aromatic diacids   | Cu(111)   | N/A         | Poly-2,6-naphthalene   | >50 nm     |

| Precursor | Substrate | Temperature | Products | Dimensions |
| --- | --- | --- | --- | --- |
| NDCA (Naphthalene-1,4,5,8-tetracarboxylic diimide) | Au(111) | N/A | N/A | N/A |
| NDCA (Naphthalene-1,4,5,8-tetracarboxylic diimide) | Ag(111) | 156 °C | Covalent coupling of NDCAs | 2D |

| Precursor             | Substrate | Temperature | Products  | Dimensions |
|-----------------------|-----------|-------------|-----------|------------|
| Carboxylic substituents | Metal surface | Ultrahigh vacuum deposition | Well-ordered self-assembled structures | N/A |
| Aromatic carboxylic acids | Metal surface | Ultrahigh vacuum deposition | Metal-organic coordinated networks of carboxylic groups | N/A |
| Metal atoms | Metal surface | Codepositing molecules with metal atoms onto surfaces | Metal carboxylates | N/A |

| Precursor  | Substrate  | Temperature | Products  | Dimensions |
|------------|------------|-------------|-----------|------------|
| NDCAs      | Cu(111) surface | Room temperature | Self-assembly structure | 2D |
| N/A        | N/A        | N/A         | N/A       | N/A        |

| Precursor            | Substrate | Temperature | Products                                              | Dimensions |
|----------------------|-----------|-------------|-------------------------------------------------------|------------|
| NDCAs                | Au(111)   | Increase    | Polymeric bisnaphthyl-Cu, poly-2,6-naphthalene chains | N/A        |

