| Precursor           | Substrate | Temperature | Products                     | Dimensions |
|---------------------|-----------|-------------|------------------------------|------------|
| 4,4’’-dibromo-1,1’:3’,1’’-terphenyl (DMTP) | Cu(111)   | N/A         | C/C0C-bonded molecular subunits, van der Waals bonded arrays | N/A        |

| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|-----------|-------------|----------|------------|
| Haloarene molecules | Solid surface under UHV conditions | N/A | Hyperbenzene nanotroughs | N/A |

| Precursor       | Substrate | Temperature | Products | Dimensions |
|-----------------|-----------|-------------|----------|------------|
| DMTP            | Cu(111)   | 300 K       | 1D coordination polymer 2 | 1D |

| Precursor              | Substrate | Temperature | Products | Dimensions |
|------------------------|-----------|-------------|----------|------------|
| 4,4’’-dibromo-m-terphenyl | Copper surface | N/A | Hyperbenzene | 2D |
| Zigzag-shaped and cyclic coordination oligo-and polymers with C-Cu-C bonds | Copper surface | N/A | Hyperbenzene | 2D |

| Precursor          | Substrate                 | Temperature | Products        | Dimensions |
|-----------------|-------------------|------------|-----------------|------------|
| 4,4’’-dibromo-m-terphenyl 1 | Cu(111) | 300 K     | Coordination polymer 2 | N/A        |
| 4,4’’-dibromo-m-terphenyl 1 | Cu(111) | 550 K     | Hyperbenzene molecules 3 | 2D         |

