| Precursor                  | Substrate | Temperature | Products | Dimensions |
|------------------------|----------|-------------|----------|------------|
| 1,3,5-tris(3-bromophenyl)benzene | Ag(111)  | Room temperature during evaporation, then heated to indicated temperatures | Porous polymer chains | 1D |

| Precursor     | Substrate | Temperature | Products    | Dimensions |
|---------------|-----------|-------------|-------------|------------|
| mTBPB         | Au(111)  | 550 K       | 1D chains   | 1D         |

| Precursor | Substrate | Temperature | Products | Dimensions |
|-----------|-----------|-------------|----------|-----------|
| N/A       | Ag(111)   | 350 K       | Porous carbon nanoribbons | 2D |
| N/A       | Ag(111)   | N/A         | N/A                        | N/A |

| Precursor            | Substrate | Temperature | Products                                 | Dimensions |
|----------------------|-----------|-------------|------------------------------------------|------------|
| Aryl-aryl coupling    | Metal     | Low         | Porous carbon nanoribbons                | 1D         |
| m-phenylene units    | Metal     | Low         | Cyclic covalent organic nanostructures   | 2D         |

