# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| residence_time | conversion of TFMB | increase |
| flow_rate | yield of product | decrease |
| temperature | reaction rate | increase |
| pressure | pressure inside reactor | decrease |
| amount_of_reactant | conversion of TFMB | unchanged |
| residence_time | yield of product | increase |
| temperature | reaction rate | increase |
| temperature | reaction rate | increase |
| flow_rate | pressure inside reactor | increase |
| catalyst_amount | pressure inside reactor | decrease |
| amount_of_reactant | conversion of TFMB | unchanged |
| flow_rate | yield of product | decrease |
| amount_of_reactant | reaction rate | unchanged |
| temperature | reaction rate | increase |
| pressure | pressure inside reactor | decrease |
| residence_time | yield of product | increase |
| temperature | reaction rate | increase |
| amount_of_reactant | conversion of TFMB | unchanged |
| flow_rate | pressure inside reactor | increase |
