method,doc_id,precision,recall,f1,accuracy,tp,fp,fn,support
qwen3,1,0.774194,0.705882,0.738462,0.585366,24,7,10,34
qwen3,2,0.730769,0.678571,0.703704,0.542857,19,7,9,28
qwen3,3,0.851852,0.741935,0.793103,0.657143,23,4,8,31
qwen3,4,0.705882,0.727273,0.716418,0.558140,24,10,9,33
qwen3,5,0.785714,0.709677,0.745763,0.594595,22,6,9,31
qwen3,6,0.821429,0.657143,0.730159,0.575000,23,5,12,35
qwen3,7,0.793103,0.696970,0.741935,0.589744,23,6,10,33
qwen3,8,0.962963,0.684211,0.800000,0.666667,26,1,12,38
qwen3,9,0.851852,0.718750,0.779661,0.638889,23,4,9,32
qwen3,10,0.931034,0.750000,0.830769,0.710526,27,2,9,36
local llm finetuned,1,0.740741,0.588235,0.655738,0.487805,20,7,14,34
local llm finetuned,2,0.740741,0.714286,0.727273,0.571429,20,7,8,28
local llm finetuned,3,0.750000,0.580645,0.654545,0.486486,18,6,13,31
local llm finetuned,4,0.840000,0.636364,0.724138,0.567568,21,4,12,33
local llm finetuned,5,0.740741,0.645161,0.689655,0.526316,20,7,11,31
local llm finetuned,6,0.807692,0.600000,0.688525,0.525000,21,5,14,35
local llm finetuned,7,0.800000,0.606061,0.689655,0.526316,20,5,13,33
local llm finetuned,8,0.840000,0.552632,0.666667,0.500000,21,4,17,38
local llm finetuned,9,0.884615,0.718750,0.793103,0.657143,23,3,9,32
local llm finetuned,10,0.928571,0.722222,0.812500,0.684211,26,2,10,36
local llm unfinetuned,1,0.689655,0.588235,0.634921,0.465116,20,9,14,34
local llm unfinetuned,2,0.655172,0.678571,0.666667,0.500000,19,10,9,28
local llm unfinetuned,3,0.833333,0.645161,0.727273,0.571429,20,4,11,31
local llm unfinetuned,4,0.000000,0.000000,0.000000,0.000000,0,0,33,33
local llm unfinetuned,5,0.785714,0.709677,0.745763,0.594595,22,6,9,31
local llm unfinetuned,6,0.655172,0.542857,0.593750,0.422222,19,10,16,35
local llm unfinetuned,7,0.703704,0.575758,0.633333,0.463415,19,8,14,33
local llm unfinetuned,8,0.714286,0.526316,0.606061,0.434783,20,8,18,38
local llm unfinetuned,9,0.750000,0.562500,0.642857,0.473684,18,6,14,32
local llm unfinetuned,10,0.730769,0.527778,0.612903,0.441860,19,7,17,36
ground truth,1,1.000000,1.000000,1.000000,1.000000,34,0,0,34
ground truth,2,1.000000,1.000000,1.000000,1.000000,28,0,0,28
ground truth,3,1.000000,1.000000,1.000000,1.000000,31,0,0,31
ground truth,4,1.000000,1.000000,1.000000,1.000000,33,0,0,33
ground truth,5,1.000000,1.000000,1.000000,1.000000,31,0,0,31
ground truth,6,1.000000,1.000000,1.000000,1.000000,35,0,0,35
ground truth,7,1.000000,1.000000,1.000000,1.000000,33,0,0,33
ground truth,8,1.000000,1.000000,1.000000,1.000000,38,0,0,38
ground truth,9,1.000000,1.000000,1.000000,1.000000,32,0,0,32
ground truth,10,1.000000,1.000000,1.000000,1.000000,36,0,0,36
